TIME,MA5,MA10,MA30
Sat Apr 11 15:15:48 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:15:53 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:15:58 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:03 2020,MA5:7096.14,MA10:6965.89,MA30:6339.26
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:08 2020,MA5:7096.31,MA10:6965.98,MA30:6339.29
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:13 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:18 2020,MA5:7096.65,MA10:6966.14,MA30:6339.35
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:23 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:28 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:33 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:38 2020,MA5:7095.95,MA10:6965.79,MA30:6339.23
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:43 2020,MA5:7096.08,MA10:6965.86,MA30:6339.25
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:48 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:53 2020,MA5:7096.29,MA10:6965.97,MA30:6339.29
TIME,MA5,MA10,MA30
Sat Apr 11 15:16:58 2020,MA5:7095.50,MA10:6965.57,MA30:6339.16
