TITLE,RUNTIME,RATING,DIRECTOR,CAST,STORYLINE
The Dark Knight,152 min,9.0,Christopher Nolan ,"Christian Bale,Aaron Eckhart,Maggie Gyllenhaal,Morgan Freeman,Ron Dean,Chin Han,Eric Roberts,Anthony Michael Hall","Set within a year after the events of Batman Begins (2005), Batman, Lieutenant James Gordon, and new District Attorney Harvey Dent successfully begin to round up the criminals that plague Gotham City, until a mysterious and sadistic criminal mastermind known only as ""The Joker"" appears in Gotham, creating a new wave of chaos. Batman's struggle against The Joker becomes deeply personal, forcing him to ""confront everything he believes"" and improve his technology to stop him. A love triangle develops between Bruce Wayne, Dent, and Rachel Dawes.
Written by
Leon Lombardi"
Dag II,135 min,8.9,Alper Caglar ,"Caglar Ertugrul,Ahu Türkpençe,Atilgan Gümüs,Armagan Oguz,Açelya Özcan,Eylül Arular,Ozan Agaç,Ender Arular","DAG II; tells the story of a clandestine special forces squad; call sign 'Storm Bringer'. Following the events of the first film, Bekir and Oguz, unlikely best friends, have enrolled in the world famous, perpetually grueling Turkish special forces training. Their first mission begins six years later-- to infiltrate the most barbarous area of modern day Iraq for a rescue mission.
Written by
ahmetkozan"
Inception,148 min,8.8,Christopher Nolan ,"Leonardo DiCaprio,Ellen Page,Ken Watanabe,Cillian Murphy,Marion Cotillard,Michael Caine,Tai-Li Lee,Magnus Nolan","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.
Written by
Warner Bros. Pictures"
The Lord of the Rings: The Fellowship of the Ring,178 min,8.8,Peter Jackson ,"Alan Howard,Sean Astin,Sean Bean,Orlando Bloom,Marton Csokas,Michael Elsworth,Ian Holm,Lawrence Makoare","An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.
Written by
Paul Twomey <toomsp@hotmail.com>"
The Matrix,136 min,8.7,"Lana Wachowski (as The Wachowski Brothers), Lilly Wachowski (as The Wachowski Brothers)    ","Keanu Reeves,Carrie-Anne Moss,Gloria Foster,Marcus Chong,Matt Doran,Anthony Ray Parker,Robert Taylor,Marc Aden Gray","Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. Morpheus awakens Neo to the real world, a ravaged wasteland where most of humanity have been captured by a race of machines that live off of the humans' body heat and electrochemical energy and who imprison their minds within an artificial reality known as the Matrix. As a rebel against the machines, Neo must return to the Matrix and confront the agents: super-powerful computer programs devoted to snuffing out Neo and the entire human rebellion.
Written by
redcommander27"
The Lord of the Rings: The Return of the King,201 min,8.9,Peter Jackson ,"Noel Appleby,Sean Astin,John Bach,Cate Blanchett,Billy Boyd,Alistair Browning,Richard Edge,Bernard Hill","The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.
Written by
Jwelch5742"
Inception,148 min,8.8,Christopher Nolan ,"Leonardo DiCaprio,Ellen Page,Ken Watanabe,Cillian Murphy,Marion Cotillard,Michael Caine,Tai-Li Lee,Magnus Nolan","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming.
Written by
Warner Bros. Pictures"
The Lord of the Rings: The Fellowship of the Ring,178 min,8.8,Peter Jackson ,"Alan Howard,Sean Astin,Sean Bean,Orlando Bloom,Marton Csokas,Michael Elsworth,Ian Holm,Lawrence Makoare","An ancient Ring thought lost for centuries has been found, and through a strange twist of fate has been given to a small Hobbit named Frodo. When Gandalf discovers the Ring is in fact the One Ring of the Dark Lord Sauron, Frodo must make an epic quest to the Cracks of Doom in order to destroy it. However, he does not go alone. He is joined by Gandalf, Legolas the elf, Gimli the Dwarf, Aragorn, Boromir, and his three Hobbit friends Merry, Pippin, and Samwise. Through mountains, snow, darkness, forests, rivers and plains, facing evil and danger at every corner the Fellowship of the Ring must go. Their quest to destroy the One Ring is the only hope for the end of the Dark Lords reign.
Written by
Paul Twomey <toomsp@hotmail.com>"
The Lord of the Rings: The Two Towers,179 min,8.7,Peter Jackson ,"Bruce Allpress,John Bach,Cate Blanchett,Billy Boyd,Sam Comery,Calum Gittins,Bruce Hopkins,Christopher Lee","The continuing quest of Frodo and the Fellowship to destroy the One Ring. Frodo and Sam discover they are being followed by the mysterious Gollum. Aragorn, the Elf archer Legolas, and Gimli the Dwarf encounter the besieged Rohan kingdom, whose once great King Theoden has fallen under Saruman's deadly spell.
Written by
Jwelch5742"
Star Wars: Episode V - The Empire Strikes Back,124 min,8.7,Irvin Kershner ,"Mark Hamill,Carrie Fisher,Anthony Daniels,Peter Mayhew,Frank Oz,Jeremy Bulloch,Jack Purvis,Clive Revill","Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.
Written by
Jwelch5742"
